City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Mahebourg,MU,-20.4081,57.7,79.09,83,75,5.75,broken clouds
326,Sokoni,TZ,-6.4333,39.55,87.66,70,7,14.5,clear sky
327,Hobyo,SO,5.3505,48.5268,82.53,75,30,16.17,scattered clouds
328,Saldanha,ZA,-33.0117,17.9442,84.25,53,0,15.01,clear sky
329,Quatre Cocos,MU,-20.2078,57.7625,78.91,78,12,12.26,few clouds
330,Cayenne,GF,4.9333,-52.3333,86.04,1,75,20.71,broken clouds
331,Pangody,RU,65.85,74.4859,0.14,94,89,6.11,overcast clouds
332,Izazi,TZ,-7.2,35.7333,78.03,52,48,6.91,scattered clouds
333,Rio Grande,BR,-32.035,-52.0986,78.91,72,12,10.92,few clouds
334,Beyneu,KZ,45.3167,55.2,63.7,49,71,13.8,broken clouds
335,Te Anau,NZ,-45.4167,167.7167,43.34,90,53,0.22,broken clouds
336,Vila Velha,BR,-20.3297,-40.2925,93.15,58,20,5.75,few clouds
337,La Ronge,CA,55.1001,-105.2842,41.25,70,75,10.36,broken clouds
338,Henties Bay,NA,-22.116,14.2845,63.95,73,0,9.55,clear sky
339,Koumra,TD,8.9126,17.5539,93.34,29,81,2.21,light rain
340,Berlevag,NO,70.8578,29.0864,35.4,97,100,29.44,overcast clouds
341,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,81.27,60,27,6.96,scattered clouds
342,Teya,RU,60.3778,92.6267,28.06,90,100,1.88,overcast clouds
